container_name,container_namespace,pod_name,value
config-reloader,monitoring,alertmanager-main-0,0.0
azuredisk,kube-system,csi-azuredisk-node-dzl4d,0.0
autoscaler,kube-system,coredns-autoscaler-649b947bbd-52rs8,0.0
teastore-registry,teastore,teastore-registry-7b5fd894db-lk6kh,0.6666666666666666
alertmanager,monitoring,alertmanager-main-2,0.0
teastore-db,teastore,teastore-db-5d98f84dfc-586kx,0.0
module-configmap-reloader,monitoring,blackbox-exporter-5fd45d4b87-wrjhw,0.0
config-reloader,monitoring,prometheus-k8s-1,0.0
kepler-exporter,kepler,kepler-exporter-sqz56,3.0
cloud-node-manager,kube-system,cloud-node-manager-wxj5b,0.0
azuredisk,kube-system,csi-azuredisk-node-vtpz7,0.0
node-driver-registrar,kube-system,csi-azurefile-node-bdwdb,0.0
init-config-reloader,monitoring,alertmanager-main-0,0.0
init-config-reloader,monitoring,prometheus-k8s-0,0.0
kepler-exporter,kepler,kepler-exporter-dt68j,0.0
node-driver-registrar,kube-system,csi-azuredisk-node-vtpz7,2.6666666666666665
metrics-server,kube-system,metrics-server-5467676b76-mgztf,0.0
kube-rbac-proxy,monitoring,node-exporter-46twm,0.0
node-driver-registrar,kube-system,csi-azuredisk-node-qk8tm,0.0
liveness-probe,kube-system,csi-azurefile-node-nxtf2,0.0
kube-proxy,kube-system,kube-proxy-rnt5w,0.0
prometheus,monitoring,prometheus-k8s-1,3.0
config-reloader,monitoring,prometheus-k8s-0,0.0
teastore-auth,teastore,teastore-auth-5cfc786949-z4gb4,0.6666666666666666
init-config-reloader,monitoring,alertmanager-main-1,0.0
prometheus-adapter,monitoring,prometheus-adapter-5485575f49-wtjlb,0.0
liveness-probe,kube-system,csi-azurefile-node-57rht,0.0
teastore-recommender,teastore,teastore-recommender-6bd6cd6bf5-9zmlf,3.0
kube-rbac-proxy,monitoring,node-exporter-x4mfm,0.0
azurefile,kube-system,csi-azurefile-node-bdwdb,0.0
kube-rbac-proxy,monitoring,node-exporter-2cjgs,0.0
metrics-server-vpa,kube-system,metrics-server-5467676b76-mgztf,0.0
liveness-probe,kube-system,csi-azuredisk-node-dzl4d,0.0
liveness-probe,kube-system,csi-azuredisk-node-vtpz7,0.0
kube-rbac-proxy-main,monitoring,kube-state-metrics-5b4f465748-dp2zq,0.0
teastore-image,teastore,teastore-image-5899d8f5c5-zv2b8,0.6666666666666666
kube-proxy,kube-system,kube-proxy-slxj6,0.0
konnectivity-agent,kube-system,konnectivity-agent-599b5d6f58-n25vf,0.0
metrics-server,kube-system,metrics-server-5467676b76-rvzh9,0.0
prometheus-adapter,monitoring,prometheus-adapter-5485575f49-x6hm7,0.0
cloud-node-manager,kube-system,cloud-node-manager-hzgdr,0.0
cloud-node-manager,kube-system,cloud-node-manager-wj4v2,0.0
node-exporter,monitoring,node-exporter-46twm,3.0
coredns,kube-system,coredns-789789675-xs6dj,0.0
azure-ip-masq-agent,kube-system,azure-ip-masq-agent-nk4md,0.0
coredns,kube-system,coredns-789789675-smzrx,0.0
azuredisk,kube-system,csi-azuredisk-node-qk8tm,0.0
config-reloader,monitoring,alertmanager-main-2,2.6666666666666665
teastore-persistence,teastore,teastore-persistence-66b6b96b66-dml6l,3.0
konnectivity-agent,kube-system,konnectivity-agent-599b5d6f58-clqz9,0.0
metrics-server-vpa,kube-system,metrics-server-5467676b76-rvzh9,0.0
kube-proxy-bootstrap,kube-system,kube-proxy-rnt5w,0.0
node-driver-registrar,kube-system,csi-azurefile-node-nxtf2,0.0
azurefile,kube-system,csi-azurefile-node-nxtf2,0.0
liveness-probe,kube-system,csi-azuredisk-node-qk8tm,0.0
kube-state-metrics,monitoring,kube-state-metrics-5b4f465748-dp2zq,0.0
kube-rbac-proxy-self,monitoring,kube-state-metrics-5b4f465748-dp2zq,0.0
config-reloader,monitoring,alertmanager-main-1,0.0
grafana,monitoring,grafana-68fbbfc855-cgk7v,2.6666666666666665
kube-proxy-bootstrap,kube-system,kube-proxy-gn7s6,0.0
blackbox-exporter,monitoring,blackbox-exporter-5fd45d4b87-wrjhw,0.0
node-driver-registrar,kube-system,csi-azuredisk-node-dzl4d,0.0
azure-ip-masq-agent,kube-system,azure-ip-masq-agent-ps75q,0.0
init-config-reloader,monitoring,prometheus-k8s-1,0.0
node-driver-registrar,kube-system,csi-azurefile-node-57rht,0.0
prometheus-operator,monitoring,prometheus-operator-5668f69c88-467k5,0.0
kube-proxy-bootstrap,kube-system,kube-proxy-slxj6,0.0
kepler-exporter,kepler,kepler-exporter-9drwx,1.0
init-config-reloader,monitoring,alertmanager-main-2,0.0
teastore-webui,teastore,teastore-webui-5cc6c89889-hk2t7,0.6666666666666666
node-exporter,monitoring,node-exporter-2cjgs,0.0
liveness-probe,kube-system,csi-azurefile-node-bdwdb,0.0
prometheus,monitoring,prometheus-k8s-0,3.0
node-exporter,monitoring,node-exporter-x4mfm,2.6666666666666665
alertmanager,monitoring,alertmanager-main-1,0.0
kube-proxy,kube-system,kube-proxy-gn7s6,0.0
azure-ip-masq-agent,kube-system,azure-ip-masq-agent-r9zct,0.0
kube-rbac-proxy,monitoring,prometheus-operator-5668f69c88-467k5,0.0
alertmanager,monitoring,alertmanager-main-0,0.0
azurefile,kube-system,csi-azurefile-node-57rht,0.0
kube-rbac-proxy,monitoring,blackbox-exporter-5fd45d4b87-wrjhw,0.0
kernel_processes,kernel,kernel_processes,5.333333333333333
system_processes,system,system_processes,314.0
