Timestamp,orders-d5f745cc6-cx92k,catalogue-7c89c4b8b7-q48rn,front-end-5d7b595bcd-bnjcl,carts-db-6d88679f9d-4zghh,user-5c8d59bcd4-sd65q,payment-66d9c6c5c8-wjnrf,user-db-758477f574-zxm5b,rabbitmq-55c946cb56-w5rsz,catalogue-db-6d76c95d76-xdq4k,shipping-78db6c6958-p5ft7,orders-db-688cc755dd-wpb8p,carts-5bb979cb6d-vbccr,session-db-9dc55b5b-89lh2,queue-master-78b6f85bb7-f72kg
1708239300,0,,27,27,10,0,27,0,0,0,27,0,0,9
1708239360,6,,166,166,21,0,166,0,0,0,166,9,17,50
1708239420,6,,323,323,21,0,323,0,0,10,323,9,23,92
1708239480,6,,478,478,21,0,478,0,0,10,478,9,39,112
1708239540,6,,630,630,31,0,630,0,0,10,630,9,50,128
1708239600,6,,786,786,31,0,786,0,0,10,786,9,66,162
1708239660,6,,926,926,31,0,926,0,0,10,926,9,79,202
1708239720,6,,1083,1083,31,0,1083,0,0,10,1083,9,89,241
1708239780,6,,1240,1240,31,0,1240,0,0,10,1240,9,109,298
1708239840,6,,1397,1397,35,0,1397,0,0,10,1397,9,129,329
1708239900,6,,1553,1553,53,0,1553,0,0,10,1553,16,145,359
1708239960,6,,1691,1691,54,0,1691,0,0,10,1691,16,168,377
1708240020,6,,1848,1848,54,0,1848,0,0,10,1848,16,175,384
1708240080,6,,2003,2003,54,0,2003,0,0,10,2003,16,179,402
1708240140,6,,2162,2162,54,0,2162,0,0,10,2162,16,194,426
1708240200,6,,2315,2315,54,0,2315,0,0,10,2315,16,243,459
1708240260,6,,2457,2457,54,0,2457,0,0,10,2457,16,254,467
1708240320,18,,2615,2615,54,0,2615,0,0,10,2615,16,279,507
1708240380,18,,2768,2768,65,0,2768,0,0,10,2768,16,304,532
1708240440,18,,2925,2925,65,0,2925,0,0,10,2925,16,316,557
1708240500,18,,3084,3084,65,0,3084,0,0,10,3084,16,320,588
1708240560,18,,3225,3225,72,0,3225,0,0,10,3225,16,351,606
1708240620,18,,3380,3380,72,0,3380,0,0,10,3380,16,377,620
1708240680,18,,3538,3538,72,0,3538,0,0,10,3538,16,393,636
1708240740,18,,3695,3695,72,0,3695,0,0,10,3695,22,410,662
1708240800,18,,3857,3857,72,0,3857,0,0,10,3857,22,410,686
1708240860,18,,3997,3997,72,0,3997,0,0,10,3997,22,411,719
1708240920,18,,4156,4156,72,0,4156,0,0,10,4156,22,440,759
1708240980,18,,4310,4310,72,0,4310,0,0,10,4310,22,460,784
1708241040,18,,4466,4466,83,0,4466,0,0,10,4466,22,478,821
1708241100,30,,4622,4622,89,0,4622,0,0,10,4622,22,491,842
1708241160,30,,4762,4762,106,0,4762,0,0,10,4762,22,498,859
1708241220,30,,4920,4920,106,0,4920,0,0,10,4920,22,523,892
1708241280,30,,5076,5076,106,0,5076,0,0,10,5076,22,544,901
1708241340,30,,5232,5232,113,0,5232,0,0,10,5232,22,565,915
1708241400,30,,5390,5390,113,0,5390,0,0,10,5390,22,565,947
1708241460,30,,5531,5531,123,0,5531,0,0,10,5531,22,585,958
1708241520,30,,5689,5689,123,0,5689,0,0,10,5689,22,591,985
1708241580,30,,5845,5845,123,0,5845,0,0,10,5845,22,591,1000
1708241640,30,,6001,6001,126,0,6001,0,0,10,6001,22,604,1032
1708241700,30,,6153,6153,126,0,6153,0,0,10,6153,22,604,1064
1708241760,30,,6296,6296,126,0,6296,0,0,10,6296,22,633,1071
1708241820,30,,6453,6453,136,0,6453,0,0,10,6453,22,641,1084
1708241880,30,,6614,6614,136,0,6614,0,0,10,6614,22,651,1111
1708241940,30,,6771,6771,136,0,6771,0,0,10,6771,22,681,1140
1708242000,30,,6931,6931,146,0,6931,0,0,10,6931,22,692,1167
1708242060,30,,7068,7068,152,0,7068,0,0,10,7068,22,708,1250
1708242120,30,,7227,7227,152,0,7227,0,0,10,7227,22,731,1350
1708242180,30,,7378,7378,152,0,7378,0,0,10,7378,22,744,1427
1708242240,30,,7534,7534,152,0,7534,0,0,10,7534,22,744,1487
1708242300,30,,7692,7692,152,0,7692,0,0,10,7692,22,750,1586
1708242360,30,,7791,7791,154,0,7791,0,0,10,7791,22,775,1633
1708242420,30,,7949,7949,154,0,7949,0,0,10,7949,22,792,1646
1708242480,30,,8104,8104,166,0,8104,0,0,10,8104,22,824,1747
1708242540,30,,8262,8262,170,0,8262,0,0,10,8262,22,837,1835
1708242600,30,,8418,8418,176,0,8418,0,0,10,8418,22,857,1913
1708242660,30,,8563,8563,179,0,8563,0,0,10,8563,22,857,1980
1708242720,30,,8722,8722,179,0,8722,0,0,10,8722,22,861,2076
1708242780,30,,8878,8878,179,0,8878,0,0,10,8878,22,881,2153
1708242840,30,,9040,9040,185,0,9040,0,0,10,9040,22,919,2174
1708242900,30,,9200,9200,199,0,9200,0,0,10,9200,22,933,2287
1708242960,30,,9343,9343,199,0,9343,0,0,10,9343,22,959,2385
1708243020,30,,9506,9506,199,0,9506,0,0,10,9506,22,970,2398
1708243080,30,,9665,9665,209,0,9665,0,0,10,9665,22,976,2495
1708243140,30,,9822,9822,209,0,9822,0,0,10,9822,22,995,2591
1708243200,30,,9982,9982,221,0,9982,0,0,10,9982,22,995,2616
1708243260,30,,10123,10123,221,0,10123,0,0,10,10123,22,1007,2647
1708243320,30,,10280,10280,221,0,10280,0,0,10,10280,22,1034,2668
1708243380,30,,10437,10437,221,0,10437,0,0,10,10437,22,1034,2682
1708243440,30,,10595,10595,221,0,10595,0,0,10,10595,22,1049,2744
1708243500,30,,10749,10749,221,0,10749,0,0,10,10749,22,1073,2832
1708243560,30,,10888,10888,221,0,10888,0,0,10,10888,22,1095,2925
1708243620,30,,11047,11047,221,0,11047,0,0,10,11047,22,1103,2955
1708243680,30,,11205,11205,221,0,11205,0,0,10,11205,22,1116,2969
1708243740,30,,11363,11363,221,0,11363,0,0,10,11363,22,1134,3038
1708243800,30,,11521,11521,221,0,11521,0,0,10,11521,22,1162,3138
1708243860,30,,11664,11664,221,0,11664,0,0,10,11664,22,1171,3194
1708243920,30,,11822,11822,221,0,11822,0,0,10,11822,22,1182,3215
1708243980,30,,11977,11977,231,0,11977,0,0,10,11977,22,1182,3236
1708244040,30,,12137,12137,231,0,12137,0,0,10,12137,22,1198,3306
1708244100,30,,12297,12297,231,0,12297,0,0,10,12297,22,1221,3384
1708244160,30,,12440,12440,239,0,12440,0,0,10,12440,22,1228,3473
1708244220,30,,12597,12597,239,0,12597,0,0,10,12597,22,1263,3552
1708244280,30,,12752,12752,253,0,12752,0,0,10,12752,22,1269,3642
1708244340,30,,12910,12910,264,0,12910,0,0,10,12910,22,1286,3732
1708244400,30,,13067,13067,277,0,13067,0,0,10,13067,22,1286,3824
1708244460,30,,13208,13208,278,0,13208,0,0,10,13208,22,1321,3843
1708244520,30,,13367,13367,278,0,13367,0,0,10,13367,22,1337,3870
1708244580,30,,13525,13525,278,0,13525,0,0,10,13525,22,1357,3887
1708244640,30,,13682,13682,286,0,13682,0,0,10,13682,22,1370,3954
1708244700,30,,13841,13841,286,0,13841,0,0,10,13841,22,1374,4052
1708244760,30,,13983,13983,296,0,13983,0,0,10,13983,22,1374,4056
1708244820,30,,14141,14141,296,0,14141,0,0,10,14141,22,1394,4071
1708244880,30,,14299,14299,306,0,14299,0,0,10,14299,22,1400,4080
1708244940,30,,14458,14458,306,0,14458,0,0,10,14458,22,1420,4089
1708245000,30,,14620,14620,317,0,14620,0,0,10,14620,22,1427,4100
1708245060,30,,14761,14761,317,0,14761,0,0,10,14761,22,1455,4196
1708245120,30,,14918,14918,324,0,14918,0,0,10,14918,22,1475,4301
1708245180,30,,15071,15071,324,0,15071,0,0,10,15071,22,1502,4368
1708245240,30,,15231,15231,334,0,15231,0,0,10,15231,22,1513,4420
1708245300,30,,15389,15389,334,0,15389,0,0,10,15389,22,1536,4516
1708245360,30,,15529,15529,334,0,15529,0,0,10,15529,22,1557,4590
1708245420,30,,15685,15685,334,0,15685,0,0,10,15685,22,1571,4679
1708245480,30,,15840,15840,345,0,15840,0,0,10,15840,22,1580,4706
1708245540,30,,15994,15994,356,0,15994,0,0,10,15994,22,1605,4797
1708245600,30,,16147,16147,356,0,16147,0,0,10,16147,22,1627,4883
1708245660,30,,16289,16289,356,0,16289,0,0,10,16289,22,1636,4900
1708245720,30,,16445,16445,356,0,16445,0,0,10,16445,22,1660,4913
1708245780,30,,16594,16594,356,0,16594,0,0,10,16594,22,1666,4931
1708245840,30,,16748,16748,368,0,16748,0,0,10,16748,22,1695,5030
1708245900,30,,16901,16901,368,0,16901,0,0,10,16901,22,1718,5128
1708245960,30,,17003,17003,371,0,17003,0,0,10,17003,22,1733,5187
1708246020,30,,17162,17162,374,0,17162,0,0,10,17162,22,1745,5227
1708246080,30,,17320,17320,378,0,17320,0,0,10,17320,22,1763,5257
1708246140,30,,17478,17478,378,0,17478,0,0,10,17478,22,1777,5328
1708246200,30,,17636,17636,389,0,17636,0,0,10,17636,22,1797,5404
1708246260,30,,17778,17778,389,0,17778,0,0,10,17778,22,1798,5438
1708246320,30,,17935,17935,389,0,17935,0,0,10,17935,22,1817,5446
1708246380,30,,18089,18089,389,0,18089,0,0,10,18089,22,1826,5463
1708246440,30,,18248,18248,419,0,18248,0,0,10,18248,22,1840,5488
1708246500,30,,18406,18406,422,0,18406,0,0,10,18406,22,1866,5513
1708246560,30,,18549,18549,433,0,18549,0,0,10,18549,22,1883,5528
1708246620,30,,18705,18705,433,0,18705,0,0,10,18705,22,1883,5544
1708246680,30,,18860,18860,450,0,18860,0,0,10,18860,22,1908,5570
1708246740,30,,19018,19018,464,0,19018,0,0,10,19018,22,1928,5595
1708246800,30,,19175,19175,468,0,19175,0,0,10,19175,22,1941,5690
1708246860,30,,19316,19316,469,0,19316,0,0,10,19316,22,1949,5768
1708246920,30,,19475,19475,479,0,19475,0,0,10,19475,22,1955,5794
1708246980,30,,19629,19629,479,0,19629,0,0,10,19629,22,1955,5814
1708247040,30,,19790,19790,479,0,19790,0,0,10,19790,22,1967,5834
1708247100,30,,19950,19950,486,0,19950,0,0,10,19950,22,1993,5854
1708247160,30,,20091,20091,486,0,20091,0,0,10,20091,22,2017,5941
1708247220,30,,20251,20251,492,0,20251,0,0,10,20251,22,2030,5997
